F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,class_
26.56654,0.1793136,23.25742,24.32204,31.50872,8.251307,459.0839,503.6852,93.95011,107.6678,0.4820086,0.5167736,0.284971,0.3741317,0.6977296,0.4127586,3.181381,1.373729,3.268174,1.992049,0.07217807,1.536888,1.727737,0.6391171,3.209932,0.7407281,6.702548,1.076458,15.06674,0.6161439,609.5593,0.3168568,1462.793,0.1068641,-99.98808,-0.9977928,1531.786,0.1169581,-102.1856,-0.9480214,2449.939,0.06857164,-103.9482,-0.9160478,-9.644576,-0.5157664,18.53464,0.3905215,0.07019909,0.2158312,-0.01837078,-0.670469,-8.829912,18.70139,0.04902048,-0.005423746,3.482587,2.538071,0.184,0.1179152,0.1718182,0.1536713,0
19.54995,0.08095698,18.41257,19.50338,20.73349,2.320915,111.4335,94.26302,16.34311,6.784576,0.4678071,0.5404979,0.2585748,0.4293816,0.6382073,0.3796325,5.165714,2.306992,5.415348,3.784175,0.02730974,0.8630431,1.461877,0.7669067,2.631818,0.6446528,3.942964,0.6178257,25.85046,0.2947049,563.6808,0.1998418,1405.663,0.1677186,-116.4318,-0.8002633,1503.228,0.1062222,-122.4696,-0.7058609,2485.711,0.06102966,-125.2861,-0.6644142,-15.58432,-0.3098749,25.82218,0.3368084,0.02480009,0.6079872,-0.0262333,-0.5327822,-7.787529,15.29263,0.01808886,-0.0123096,4.683841,3.080569,0.1276923,0.1232979,0.1635714,0.1614491,0
30.70344,0.1462194,26.83977,29.47087,36.06213,9.222357,68.81973,55.65792,31.84221,18.77612,0.9948323,0.603897,0.468959,0.8412794,1.455274,0.986315,13.73376,7.978722,10.60542,6.480671,0.03551405,1.301754,1.362944,0.649881,5.289124,0.5844066,6.311069,2.057655,24.09349,0.4362933,560.2418,0.2982851,1564.158,0.1153003,-59.76512,-1.442303,1494.373,0.1383066,-62.91455,-1.25971,2417.24,0.07765968,-68.04398,-1.119102,-13.57687,-0.4466085,24.33667,0.325906,0.04508402,0.4774363,-0.02322616,-0.5881929,-9.582516,15.64643,0.007958413,-0.003767404,5.147059,2.763819,0.2545455,0.1469919,0.11625,0.09551669,0
19.56452,0.04656856,18.70579,19.48289,20.37897,1.673182,20.47339,7.809281,14.92708,15.53926,0.4334508,0.5077404,0.2390773,0.3831814,0.658548,0.4194707,3.749416,2.222506,3.191154,1.584475,0.02175957,0.8789282,1.542969,0.8979245,3.045148,0.4493162,4.62835,0.7909362,30.1718,0.2193367,470.4785,0.2814801,1443.141,0.1297547,-89.37533,-1.078876,1386.377,0.1349076,-97.79434,-0.9117203,2407.219,0.05817061,-101.8929,-0.838097,-19.18207,-0.2884175,28.39765,0.200356,0.001762076,11.46333,-0.01719918,-0.813754,-14.09596,24.64551,-0.01538786,0.000359445,3.981265,1.658768,0.3271429,0.4113988,0.2225,0.2172412,0
25.92343,0.07576194,24.37232,26.07616,27.35015,2.977825,196.2766,395.0904,54.25852,112.4294,0.5429497,0.4932843,0.3018586,0.4978637,0.7870595,0.485201,6.1654,3.347098,7.095457,3.611946,0.02530531,1.021083,1.18609,1.059391,6.06446,0.3638118,3.099844,1.429936,27.61933,0.2283427,481.0414,0.25605,1410.41,0.1145714,-62.06479,-1.369084,1395.995,0.1178382,-70.4523,-1.131631,2406.082,0.06618328,-78.1161,-0.9563854,-15.53945,-0.4088083,25.65751,0.2448812,0.02794987,0.6281044,-0.01790816,-0.8702881,-3.984819,11.42273,0.01279783,0.001715461,4.940375,3.098107,0.2172222,0.1800557,0.09117647,0.05334486,0
25.19963,0.1021006,22.76919,24.79166,27.33005,4.56086,48.94858,40.44549,35.64341,29.3172,0.4759617,0.6403974,0.1752626,0.4222088,0.7120872,0.5368246,7.446651,4.548252,5.712903,5.18494,0.03685434,1.023151,1.21748,1.004521,4.940649,0.5417123,3.502781,1.528784,37.61949,0.1994473,548.4793,0.2361505,1450.267,0.1072469,-107.6767,-0.8672003,1464.693,0.138363,-115.8517,-0.7354431,2498.809,0.07838593,-121.8721,-0.6487918,-22.72775,-0.2709287,35.60141,0.1634745,0.02539559,0.7780396,-0.02731495,-0.5001215,-15.50148,25.19568,0.01192142,-0.009114486,3.773585,2.232143,0.2055,0.1354059,0.2225,0.2589957,0
26.57928,0.1074412,25.81952,27.42775,27.95303,2.133507,124.2622,132.3735,19.6426,18.69319,0.308029,0.5647563,0.1453162,0.2854994,0.4584846,0.3131683,3.303185,1.7412,3.013603,1.630563,0.02853199,1.539863,1.027288,0.8027977,7.148767,0.2928512,0.7187363,7.504986,38.28637,0.1903402,590.9821,0.244588,1519.98,0.10869,-91.73857,-0.9970019,1517.435,0.1408533,-99.80208,-0.8429338,2605.245,0.11231,-109.9239,-0.6863973,-21.21692,-0.3406466,35.29381,0.2447965,0.01318179,1.525176,-0.02559679,-0.497315,-11.47312,20.73285,0.000687775,-0.007242491,4.475043,1.909722,0.2918182,0.1788254,0.1933333,0.1449329,0
23.65445,0.2048574,21.98078,22.95746,23.9798,1.999023,35.80087,30.45006,54.71646,62.70947,0.419882,0.5752103,0.1927827,0.3875121,0.6194648,0.4266821,5.144893,2.568612,5.154027,3.774755,0.04340335,1.142916,1.086647,0.8939772,5.321794,0.3216386,4.429736,1.167886,28.22803,0.3722154,498.8334,0.3480534,1335.301,0.1744722,-107.7588,-0.8662648,1455.816,0.1508949,-114.328,-0.7488589,2397.496,0.08054212,-115.8785,-0.7252817,-18.54857,-0.4671446,25.70981,0.3812888,0.007266323,2.441319,-0.008154502,-1.696351,-4.811767,12.02457,-0.01374925,0.01009916,4.130435,2.185792,0.213,0.1659548,0.2133333,0.235581,0
23.6381,0.1703013,20.65867,23.09791,27.59335,6.934677,103.5109,131.409,131.9674,197.7573,0.5185029,0.4585085,0.3399869,0.4971391,0.6428342,0.3028473,5.958588,3.304179,4.059945,2.639437,0.04489288,1.979095,1.349048,0.6826856,3.127803,0.726245,7.204952,2.937592,22.21735,0.3765331,579.7971,0.2497864,1522.804,0.1294878,-63.54708,-1.245539,1546.479,0.131163,-71.58559,-1.03213,2466.627,0.06968509,-74.62438,-0.9644584,-16.31883,-0.3158067,23.5469,0.2786896,0.01089638,2.291977,-0.01768003,-0.5771226,-17.21195,26.30828,-0.003481498,-0.01303413,5.152225,5.21327,0.1259091,0.09301315,0.059375,0.06169165,0
29.75093,0.1154986,27.33517,29.57184,31.27991,3.944733,82.19143,66.12823,77.46735,130.9913,0.3727301,0.774866,0.1657503,0.2819529,0.5218163,0.356066,4.174153,3.774565,4.136045,4.644229,0.02546495,1.254047,1.47311,0.6169259,4.288392,0.5561006,-4.162015,-1.902558,9.850372,0.9810326,662.3756,0.2210729,1488.379,0.1481794,-123.2438,-0.7746677,1589.759,0.09374054,-125.2868,-0.7305513,2537.288,0.05586575,-126.6295,-0.7090926,-9.873107,-0.4062808,17.99548,0.3025393,0.04066054,0.3964386,-0.02246083,-0.5035551,-11.62184,19.23763,0.02261186,-0.01567654,2.4,2.70073,0.1316216,0.1041442,0.2181081,0.2286132,0
