F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,alphaRatioV_sma3nz_amean,hammarbergIndexV_sma3nz_amean,jitterLocal_sma3nz_amean,logRelF0-H1-A3_sma3nz_amean,loudness_sma3_meanRisingSlope,loudness_sma3_percentile80.0,loudness_sma3_stddevNorm,shimmerLocaldB_sma3nz_amean,slopeUV500-1500_sma3nz_amean
29.83047,28.72973,30.17338,30.85651,646.3593,0.3249485,1550.87,0.126075,2500.281,0.07107731,4.219126,-5.188235,12.89388,0.01431546,10.76235,16.05901,1.511839,0.5680631,1.253685,-0.01906202
30.89663,28.35832,30.55809,33.88512,685.0899,0.3385917,1588.07,0.1374461,2528.104,0.06213024,5.607422,-11.23037,19.12591,0.02954912,20.67074,13.42651,1.792031,0.3858888,1.406653,-0.01234125
29.47271,27.51849,29.60771,31.40253,569.35,0.2495256,1535.629,0.1337396,2487.014,0.07161682,6.476795,-17.20459,28.66656,0.0328526,26.81134,20.64627,2.2004,0.5468955,1.037913,-0.009939224
32.91063,30.50637,32.73838,34.79676,542.2524,0.2951745,1497.924,0.1563559,2454.478,0.09481782,7.934342,-16.46242,29.13539,0.03300128,26.63402,2.892279,0.3612513,0.6661929,1.075844,0.003166609
23.38547,21.66545,23.01248,24.84745,517.3573,0.2818288,1509.202,0.1458109,2446.498,0.07552212,4.378078,-17.62964,24.78828,0.03368976,27.45454,4.833983,0.5573782,0.4798626,1.401127,-0.0018018
29.35529,26.4623,28.35779,31.85217,733.2728,0.265883,1607.304,0.1231642,2512.201,0.05315974,5.283936,-12.65693,22.38939,0.04536971,18.8203,12.05987,1.659793,0.5629284,0.9607716,-0.01339755
27.12054,24.32391,26.47548,28.99881,631.7316,0.351008,1558.834,0.1470904,2483.458,0.07826064,4.015594,-8.924841,16.87343,0.03328658,17.51274,6.296853,0.6369082,0.595556,1.40259,-0.0008506936
21.55879,17.22478,23.79767,25.033,569.3214,0.3050998,1556.646,0.166698,2509.662,0.1221453,3.199071,-23.32531,33.2971,0.04921233,24.07289,7.755511,1.192443,0.5377637,1.585654,-0.01300806
23.9325,23.30271,24.04169,24.46329,549.6551,0.2563268,1486.236,0.1242195,2426.088,0.05527662,3.824583,-15.28848,24.27985,0.02212946,24.91667,4.016664,0.6098383,0.3976311,1.428923,-0.0130796
39.96475,38.78994,40.30879,41.72705,669.936,0.2402299,1556.906,0.1063823,2543.712,0.06174947,9.617899,-11.01742,20.06701,0.0179959,23.37758,20.37204,1.74143,0.4257769,0.9677805,-0.009897638
29.75093,27.33517,29.57184,31.27991,662.3756,0.2210729,1589.759,0.09374054,2537.288,0.05586575,4.288392,-9.873107,17.99548,0.02546495,9.850372,4.174153,0.5218163,0.774866,1.47311,-0.01567654
25.61057,22.76872,23.39152,27.90372,728.5273,0.2144735,1606.665,0.09872872,2504.996,0.05394173,1.978167,-10.69726,20.00375,0.07440189,18.60171,4.331189,0.9551872,0.2943771,1.71925,-0.01537184
